1	0	-2.9619e-05	13.3
1	1	-1.7282e-06	11.6
2	0	-3.4015e-06	-21.6
2	1	5.3146e-06	-6.4086
2	2	1.447e-06	-3.1177
3	0	3.349e-06	-2.75
3	1	-7.0055e-06	-10.717
3	2	2.4247e-06	-2.3238
3	3	5.6486e-07	-6.7198
4	0	4.0788e-06	-11.812
4	1	4.3541e-06	12.175
4	2	9.7828e-07	-31.305
4	3	-8.4293e-07	9.4124
4	4	8.2307e-08	-1.4051
5	0	-1.7231e-06	-11.025
5	1	3.5725e-06	7.1166
5	2	1.7084e-06	-19.982
5	3	-6.1369e-07	-5.6475
5	4	-3.7404e-07	0
5	5	-9.0501e-09	-0.14031
6	0	1.0438e-06	5.775
6	1	1.2892e-06	5.6709
6	2	1.1089e-06	10.461
6	3	-1.603e-06	18.929
6	4	-3.2195e-08	-9.2767
6	5	3.9323e-08	-1.1634
6	6	-6.0721e-08	0.47019
7	0	2.1182e-06	5.3625
7	1	-2.6248e-06	-3.547
7	2	0	-8.6882
7	3	6.8193e-07	22.526
7	4	1.1238e-07	8.6443
7	5	4.2604e-08	3.0872
7	6	1.7679e-08	-0.72655
7	7	-7.7671e-10	0.32363
8	0	1.2267e-06	5.0273
8	1	4.4241e-07	13.406
8	2	-5.1596e-07	-28.041
8	3	-3.2721e-07	8.2839
8	4	-4.4382e-07	-10.694
8	5	1.3496e-07	2.9661
8	6	4.8057e-08	3.4326
8	7	-1.9804e-08	-1.7548
8	8	-4.3869e-09	0.25068
9	0	4.748e-07	0
9	1	1.1976e-06	0
9	2	3.2595e-07	0
9	3	-6.9706e-07	0
9	4	3.5517e-07	0
9	5	-2.9985e-07	0
9	6	-2.6097e-08	0
9	7	7.0062e-08	0
9	8	-1.1111e-08	0
9	9	-4.9942e-09	0
10	0	-4.6911e-07	0
10	1	-1.4597e-06	0
10	2	3.5818e-07	0
10	3	-5.1237e-07	0
10	4	0	0
10	5	0	0
10	6	0	0
10	7	0	0
10	8	0	0
10	9	0	0
10	10	0	0
